Data;Servico;Midia;Tipo;competencia;Agencia;NF;Subcontratado;NF; Bruto PI ; Bruto PUP ; Comisao/B. Calculo ; IR ; ISS ; Liquido ;PP;Data Pagt;RPP;RPNP;local;Data;Relatorio;Campanha;situacao;
17/04/2017;producao;Banner;normal;mar/17;Binder;18264;2 Mobile Marketing;237;;24.790,00;24.790,00;;1.239,50;23.550,50;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;veiculacao;Radio;normal;fev/17;Binder;18295;Antena Nove Fm;3540;;5.320,00;840;12,6;42;5.265,40;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;veiculacao;Radio;normal;mar/17;Binder;56;Atividade Fm;1477;;21.446,25;3.386,25;50,79;169,31;21.226,14;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;veiculacao;Radio;normal;mar/17;Binder;18085;Band News Fm;6345/1702;;11.236,12;1.774,12;26,61;88,71;11.120,80;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;producao;Foto;normal;fev/17;Binder;18261;Bulldog Estudio;246;;9.530,00;9.530,00;;476,5;9.053,50;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;producao;Banner;normal;fev/17;Binder;18265;Daniel Hellmann;601189;;39.000,00;;; -   ;39.000,00;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;producao;Spot;normal;mar/17;Binder;18183;MC Studio;3865;;18.700,00;18.700,00;;935;17.765,00;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;veiculacao;Radio;normal;mar/17;Binder;102;OK Fm;120;;11.009,07;1.738,27;26,07;86,91;10.896,09;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;producao;Ilustracao;normal;fev/17;Binder;18221;Picture House;11638;;2.250,00;2.250,00;33,75;112,5;2.103,75;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;veiculacao;Radio;normal;mar/17;Binder;64;Redentor Fm;143;;5.454,90;861,3;12,92;43,07;5.398,92;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;veiculacao;Radio;normal;fev/17;Binder;18245;Sara Brasil Fm;1000;;6.078,78;959,8;14,4;47,99;6.016,39;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;producao;Spot;normal;mar/17;Binder;18181;Technol¢gica Musica;2017/194;;8.300,00;8.300,00;124,5;415;7.760,50;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;producao;Spot;normal;fev/17;Binder;18224;Technol¢gica Musica;2017/193;;12.000,00;12.000,00;180;600;11.220,00;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;producao;Spot;normal;fev/17;Binder;18263;Technol¢gica Musica;2017/216;;23.400,00;23.400,00;351;1.170,00;21.879,00;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
18/04/2017;veiculacao;Jornal;normal;mar/17;Binder;61;Alì Bras°lia;2776;;36.427,10;5.751,64;86,27;287,58;36.053,25;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
18/04/2017;veiculacao;Radio;normal;mar/17;Binder;59;Antena 1 Fm;5940;;13.518,31;2.134,47;32,02;106,72;13.379,57;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
18/04/2017;veiculacao;Radio;normal;mar/17;Binder;65;Boa Vontade;1649;;6.669,00;1.053,00;15,8;52,65;6.600,55;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
18/04/2017;veiculacao;TV;normal;mar/17;Binder;18148;Cancao Nova;559;;16.458,62;2.598,73;38,98;129,94;16.289,70;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
